pretty_formula,material_id,band_gap
K2GeSe4,mp-29022,1.7867
ScF3,mp-695817,1.8038
AsS,mp-542810,1.9674000000000005
Li3Fe5OF11,mp-1342745,1.7568
BC2N,mp-1008523,1.5215999999999994
SrLaMgMn2O6,mp-2217867,1.8241999999999996
Re3(SeCl)7,mp-679999,1.5043
Li3CoBO4,mp-768705,1.7308000000000003
CsNd2Ti2NbO10,mp-1228954,1.5761999999999996
Ti2Sn3O10,mp-757375,1.7265999999999997
LiV2NiO6,mp-1565491,1.5283000000000002
Ba2Ti6N2O11,mp-755526,1.7616
MgAg4Te8(MoO12)2,mp-1233997,1.8913
Ti2FeO5,mp-1101126,1.6511999999999998
SbXe2F9,mp-29904,1.7960000000000005
As2O5,mp-555434,1.6284999999999998
Ca2AlFeO5,mp-1227552,1.7716999999999996
SrCaYVO6,mp-1520379,1.6094000000000004
Cs15W7N19,mp-1087549,1.5345
Ba2NbN3,mp-17024,1.9548
MgV2(PO5)2,mp-2232138,1.9099
K4Sn(TeSe)2,mp-569427,1.5606
Mg30BCO32,mp-1038482,1.8056
Li5BiS4,mp-766390,1.8897
Pr2MgMn2(GeO5)2,mp-2229141,1.8494
As2H5CO6,mp-1229009,1.659
Cs2RbTlBr6,mp-1112116,1.5133
NaSr6H17Pd2O17,mp-1221694,1.5143999999999995
Ca2TeWO6,mp-1047738,1.5348999999999997
Rb2TeI6,mp-28070,1.6225
YSeF,mp-556111,1.5788000000000002
Na6Ta20Zn4Si21(S5O48)3,mp-2715737,1.935
SiC,mp-1204356,1.8389000000000009
K2TbAuCl6,mp-1112060,1.9648
Y2Mo2O7,mp-2674749,1.6482
CsNbN2,mp-8978,1.5227999999999997
Li5CoO4,mp-779022,1.5192
Ti2P2O9,mp-1044823,1.9456
LiFe2(BO3)2,mp-761207,1.56
MoO3,mp-20589,1.9487
NaVCSO7,mp-772183,1.7907000000000002
MnBr2,mp-28306,1.5962
VAgO3,mp-559736,1.6283
LiCr3O8,mp-772513,1.6692
RbV2CrO7,mp-557660,1.8638
Li3Fe8(BO3)8,mp-764874,1.566
S5N4O3,mp-540558,1.7253
MgV2(FeO2)4,mp-2233255,1.7394000000000005
Ba3NaSr(SbO4)3,mp-1228279,1.5696999999999997
KUClO3,mp-1095429,1.7582999999999998
AgCO2,mp-1182953,1.976
MgMoP2O7,mp-2217940,1.8573000000000004
BaSrTbBiO6,mp-1518219,1.8169
INO3,mp-754661,1.6497000000000002
Ho2MgMo2(ClO4)2,mp-2228760,1.7033
MgFe4O5F3,mp-2219662,1.6722
Li8MnO5F,mp-753625,1.7231
Tm10Ti6O27,mp-675759,1.7303999999999995
MgFe2(SO5)2,mp-2228654,1.6617000000000002
KY(PSe3)2,mp-571057,1.8811
Li3V3(PO4)4,mp-757811,1.8507
Li2Co2C2O7,mp-757756,1.7858
TlCr2FeO8,mp-1208083,1.8589
USO6,mp-17637,1.9501
TbCu(MoO4)2,mp-14948,1.9354
Ba2NdMgBiO6,mp-2240208,1.6575000000000002
Ba2GdCl7,mp-29084,1.5614999999999997
Ba3CrO5,mp-19197,1.5029000000000003
