pretty_formula,material_id,band_gap
K3H3Pd,mp-707337,1.7674
H8PtO6,mp-626835,1.9426
CaHgAu2,mp-1093882,1.6528999999999998
Ag2Mo3SeO12,mp-556429,1.5519
H12Pd(N5O4)2,mp-557991,1.8438
Ba2H6Os,mp-697044,1.9655
Cs2Pt3S4,mp-13992,1.6386000000000005
Sr(AuO2)2,mp-9298,1.5463
Ba2InAgS4,mp-1197611,1.7053999999999996
In14Ga3Pt2O8F15,mp-40373,1.9925
RhSe2Cl7,mp-613545,1.8899
Rb2PdCl4,mp-1025201,1.7485
Cs2AgAsCl6,mp-1113543,1.5886000000000002
Li2PdF6,mp-13985,1.6748999999999998
Ba6LiNb2Ir(ClO6)2,mp-1235093,1.5034
K3IrCl6,mp-541141,1.9930000000000003
K2Ag4Pd3(NO2)12,mp-553936,1.5334
Na2P2PdO7,mp-8989,1.6031000000000002
Ba4PtO6,mp-8727,1.8104
Ag2Se,mp-1183005,1.7115
Ca3Ge3(RhO6)2,mp-1214274,1.5931000000000002
K4P2PdS8,mp-863747,1.7116
H13RuC5SN2(ClO)3,mp-1204771,1.8271
VAg(HO2)2,mp-24576,1.8228
K2H4PtC6S6(N3O)2,mp-696056,1.5465
Rb2Pd(NO3)4,mp-555122,1.7806000000000002
SmAgS2,mp-1205094,1.9792
H15PdRuN9O11,mp-1203988,1.9013
Ca(AuF6)2,mp-28153,1.5298999999999998
P2Pd3S8,mp-3006,1.5779
Li3AuO3,mp-7471,1.8711
AuN5O14,mp-560745,1.7689
AgH2CS2N,mp-1192660,1.9599
La2Ti3(AgO5)2,mp-6000,1.9408000000000003
Ag2NClO3,mp-557303,1.7100000000000002
TaTl2AgS4,mp-558241,1.9437
Ba2PdF6,mp-29794,1.5301
MgPdF6,mp-7921,1.8285
K2Pd(NO3)4,mp-1197132,1.8303
AgI,mp-684580,1.704
Ru2C7S10N10(Cl4O3)2,mp-735424,1.5099
Rb2ScAuBr6,mp-1111714,1.7436
Ba9(AuO6)2,mp-28788,1.8827
H8PtO6,mp-625154,1.6174000000000002
CsAuCl4,mp-1095499,1.8897
Rb2PtCl6,mp-23350,1.9459
Cs2PdCl4,mp-30314,1.852
AgAsF6,mp-37153,1.6806
Ca2P4PdO8,mp-1214415,1.7339
LaAuO3,mp-28853,1.7977
Na3Li3Rh2F12,mp-1210682,1.9933
RbAgTeS3,mp-1209320,1.8309
Na2Pd(S4O13)2,mp-1195013,1.5456
NaLi2IrF6,mp-1111346,1.8335
CsAu(IO3)4,mp-1200560,1.9345
BaPd(IO3)4,mp-1106270,1.9058
AgI,mp-567809,1.5986
Os6C19SO19,mp-662802,1.7147
Os5(CO)16,mp-680248,1.9933
Na2AgSbF6,mp-1111317,1.6667999999999998
Te2Ru4(CO)11,mp-651231,1.7386
Ag2Hg(SeO3)2,mp-558763,1.8132
MnVAgO4,mp-542979,1.7464000000000002
Cs2ScAuF6,mp-1112595,1.8594
Pr3SiAgS7,mp-863751,1.8048999999999995
BaH8PtC4(NO)4,mp-720904,1.5012
K2H2IrCl5O,mp-23801,1.8583000000000005
AgN3,mp-2247,1.5714
K2CrAuF6,mp-1111943,1.5844
LiAgF2,mp-1176792,1.8912
CsNb4Ag(PS10)2,mp-1226881,1.5918
TmAu2F9,mp-14761,1.8684000000000005
V2FeAg3O8,mp-1192650,1.6188000000000002
P4PtIO10,mp-736701,1.5358
K2PdN2(ClO2)2,mp-655297,1.727
K2Nb6Ag(PO8)3,mp-686747,1.6358
AgH6C2N5O4,mp-1202721,1.992
Dy2CoPtO6,mp-1213101,1.7675999999999998
Ru4C14O13,mp-653243,1.9679
Na2Pd(NO2)4,mp-558335,1.9466
Rb2PdC2,mp-10918,1.5802
