pretty_formula,material_id,band_gap
Mg6ZnFeO8,mp-1032625,1.8576999999999995
Mg30BWO32,mp-1038517,1.885699999999999
Na4Al2Si3Sn2(SO8)3,mp-2713666,1.5372
Rb8W13O43,mp-706241,1.8216
Na4Mn3BO8,mp-1221176,1.8668999999999998
K6Al11Si13Ag5O48,mp-686585,1.5983
Zn2Si5N8,mp-1247426,1.9910999999999994
Na4Zn3GeP2(SO6)4,mp-2713189,1.8390000000000002
AlCuS2,mp-4979,1.6756000000000002
Ag2WO4,mp-637188,1.9382000000000001
CsS3,mp-1188913,1.6567
H16PdC4S4(N5O3)2,mp-1212583,1.6554000000000002
LiMo2(PO4)3,mp-540268,1.5276999999999998
FeH16C4S4(N4Cl)2,mp-723036,1.9676999999999998
Si2H2O3,mp-627314,1.7578
Na3MgNb5Si6(SO12)3,mp-2715664,1.9244000000000003
GeI4,mp-23266,1.996
Na3BrO,mp-985586,1.8815
KTa(AgSe2)2,mp-571288,1.7478
Ga(BiBr)4,mp-571502,1.5866
AlCuO2,mp-3098,1.8148
K2OsNCl5,mp-640057,1.6138000000000003
Mg(FeO2)2,mp-1386508,1.7678000000000003
CaSnO2,mp-1046012,1.6462000000000003
Si2H2O3,mp-627123,1.6023999999999998
Mg(GaS2)2,mp-1246286,1.6447999999999996
CsLiO,mp-1178395,1.6344000000000003
Na10Ga4Si7Ge4S5O48,mp-2715947,1.8099
SrSnO3,mp-12866,1.6118000000000001
FeH4S2NO8,mp-684724,1.9115999999999997
Cs3TlBr6,mp-1112647,1.6915
Na8Ca3Sn(PO4)6,mp-2715088,1.5316000000000003
Na3Mg5Nb(SO4)9,mp-2714163,1.5787
TlAgI2,mp-27801,1.5659
Na10Ta4Zn4Si7S5O48,mp-2714127,1.9401
K6ZnS4,mp-1147618,1.9713999999999998
K2Na3InO4,mp-504962,1.92
Fe4H14O13,mp-626855,1.8694000000000002
ICl3,mp-27729,1.7959999999999998
Na4GeSe4,mp-28292,1.7906
P2PdO6,mp-29274,1.6196000000000002
Mg14MnZnO16,mp-1036184,1.7804000000000002
Li4Mn3O8,mp-779008,1.6716
Pd(SeCl3)2,mp-28175,1.7002
InRe2(CO)9,mp-1196269,1.9165999999999999
Na8Al6Si6O25,mp-1173749,1.8672999999999997
ZnFePO5,mp-1046713,1.8781
KSn2I5,mp-23534,1.5097999999999998
Rb3AgO2,mp-553907,1.5831
LiFe5(OF2)4,mp-1176720,1.6382
